citation,name,publisher,cite_type,edition1,edition2,edition3,edition4,edition5,edition6,start_e1,start_e2,start_e3,start_e4,start_e5,start_e6,end_e1,end_e2,end_e3,end_e4,end_e5,end_e6,mlz_jurisdictions,variations,href,notes
B.R.,Bankruptcy Reporter,,specialty,B.R.,,,,,,1979-01-01T00:00:00,,,,,,,,,,,,"us:c0:dc.d;bankruptcy.court, us:c10:co.d;bankruptcy.court, us:c10:ks.d;bankruptcy.court, us:c10:nm.d;bankruptcy.court, us:c10:ok.ed;bankruptcy.court, us:c10:ok.nd;bankruptcy.court, us:c10:ok.wd;bankruptcy.court, us:c10:ut.d;bankruptcy.court, us:c10:wy.d;bankruptcy.court, us:c10;bankruptcy.appellate.panel, us:c11:al.md;bankruptcy.court, us:c11:al.nd;bankruptcy.court, us:c11:al.sd;bankruptcy.court, us:c11:fl.md;bankruptcy.court, us:c11:fl.nd;bankruptcy.court, us:c11:fl.sd;bankruptcy.court, us:c11:ga.md;bankruptcy.court, us:c11:ga.nd;bankruptcy.court, us:c11:ga.sd;bankruptcy.court, us:c1:ma.d;bankruptcy.court, us:c1:me.d;bankruptcy.appellate.panel, us:c1:me.d;bankruptcy.court, us:c1:nh.d;bankruptcy.court, us:c1:pr.d;bankruptcy.court, us:c1:ri.d;bankruptcy.court, us:c1;bankruptcy.appellate.panel, us:c2:ct.d;bankruptcy.court, us:c2:ny.ed;bankruptcy.court, us:c2:ny.nd;bankruptcy.court, us:c2:ny.sd;bankruptcy.court, us:c2:ny.wd;bankruptcy.court, us:c2:vt.d;bankruptcy.court, us:c2;bankruptcy.appellate.panel, us:c3:de.d;bankruptcy.court, us:c3:nj.d;bankruptcy.court, us:c3:pa.ed;bankruptcy.court, us:c3:pa.md;bankruptcy.court, us:c3:pa.wd;bankruptcy.court, us:c3:vi.d;bankruptcy.court, us:c4:md.d;bankruptcy.court, us:c4:nc.ed;bankruptcy.court, us:c4:nc.md;bankruptcy.court, us:c4:nc.wd;bankruptcy.court, us:c4:sc.d;bankruptcy.court, us:c4:va.ed;bankruptcy.court, us:c4:va.wd;bankruptcy.court, us:c4:wv.nd;bankruptcy.court, us:c4:wv.sd;bankruptcy.court, us:c5:la.ed;bankruptcy.court, us:c5:la.md;bankruptcy.court, us:c5:la.wd;bankruptcy.court, us:c5:ms.nd;bankruptcy.court, us:c5:ms.sd;bankruptcy.court, us:c5:tx.ed;bankruptcy.court, us:c5:tx.nd;bankruptcy.court, us:c5:tx.sd;bankruptcy.court, us:c5:tx.wd;bankruptcy.court, us:c6:ky.ed;bankruptcy.court, us:c6:ky.wd;bankruptcy.court, us:c6:mi.ed;bankruptcy.court, us:c6:mi.wd;bankruptcy.court, us:c6:oh.nd;bankruptcy.court, us:c6:oh.sd;bankruptcy.court, us:c6:tn.d;bankruptcy.court, us:c6:tn.ed;bankruptcy.court, us:c6:tn.md;bankruptcy.court, us:c6:tn.wd;bankruptcy.court, us:c6;bankruptcy.appellate.panel, us:c7:il.cd;bankruptcy.court, us:c7:il.nd;bankruptcy.court, us:c7:il.sd;bankruptcy.court, us:c7:in.nd;bankruptcy.court, us:c7:in.sd;bankruptcy.court, us:c7:wi.ed;bankruptcy.court, us:c7:wi.wd;bankruptcy.court, us:c8:ar.ed;bankruptcy.court, us:c8:ar.wd;bankruptcy.court, us:c8:ia.nd;bankruptcy.court, us:c8:ia.sd;bankruptcy.court, us:c8:mn.d;bankruptcy.court, us:c8:mo.ed;bankruptcy.court, us:c8:mo.wd;bankruptcy.court, us:c8:nd.d;bankruptcy.court, us:c8:ne.d;bankruptcy.court, us:c8:sd.d;bankruptcy.court, us:c8;bankruptcy.appellate.panel, us:c9:ak.d;bankruptcy.court, us:c9:az.d;bankruptcy.court, us:c9:ca.cd;bankruptcy.court, us:c9:ca.ed;bankruptcy.court, us:c9:ca.nd;bankruptcy.court, us:c9:ca.sd;bankruptcy.court, us:c9:gu.d;bankruptcy.court, us:c9:hi.d;bankruptcy.court, us:c9:id.d;bankruptcy.court, us:c9:mp.d;bankruptcy.court, us:c9:mt.d;bankruptcy.court, us:c9:nv.d;bankruptcy.court, us:c9:or.d;bankruptcy.court, us:c9:wa.ed;bankruptcy.court, us:c9:wa.wd;bankruptcy.court, us:c9;bankruptcy.appellate.panel","B. R., BR",,
B.T.A.,Reports of the United States Board of Tax Appeals,,specialty,B.T.A.,,,,,,1924-01-01T00:00:00,,,,,,1942-12-31T00:00:00,,,,,,us:c;tax.court,,,
B.T.A.M. (P-H),Board of Tax Appeals Memorandum Decisions,,specialty,B.T.A.M. (P-H),,,,,,1928-01-01T00:00:00,,,,,,1942-12-31T00:00:00,,,,,,us:c;tax.court,,,
BCA,"Board of Contract Appeals Decisions, published by Commerce Clearing House",,federal,BCA,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us;federal,,https://law.resource.org/pub/us/code/blue/IndigoBook.html#T2,
BNA OSHC,Occupational Safety & Health Cases,,specialty,BNA OSHC,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,"O.S.H. Cas., O.S.H. Cas. (BNA), O.S.H. Cases, O.S.H. Cases (BNA)",http://www.bna.com/occupational-safety--p4900/,See https://law.resource.org/pub/us/code/blue/IndigoBook.html#T2 for nonstandard abbreviation
BNH,United States Bankruptcy Court for the District of New Hampshire,,federal,BNH,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:c1:nh.d;bankruptcy.court,,,
BTA LEXIS,Board of Tax Appeals Lexis,,specialty_lexis,BTA LEXIS,,,,,,1928-01-01T00:00:00,,,,,,1942-12-31T00:00:00,,,,,,us:c;tax.court,,,
Backes,Backes' Reporter,,state,Backes,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:nj;supreme.court,,,
Bail.,"South Carolina Reports, Bailey",,state,Bail.,,,,,,1828-01-01T00:00:00,,,,,,1832-12-31T00:00:00,,,,,,us:sc;supreme.court,"Bai., Bail. Rep., Bail.L., Bail.L.(S.C.), Bailey, Bailey Rep., S.C.L.(Bail.)",,
Bail. Eq.,"South Carolina Reports, Bailey's Equity",,state,Bail. Eq.,,,,,,1830-01-01T00:00:00,,,,,,1831-12-31T00:00:00,,,,,,us:sc;supreme.court,"Bai.Eq., Bail.Eq.(S.C.), Bailey, Bailey Ch., Bailey Eq., Bailey Rep., S.C.Eq.(Bail.Eq.)",,
Baldw.,Baldwin's United States Circuit Court Reports,,federal,Baldw.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,"Bald, Bald. C.C., Baldw, Baldwin's C.C. U.S. Rep, Baldwin's Rep.",,Reporter does not appear to have a volume as part of citation
Balt. C. Rep.,Baltimore City Reports,,state,Balt. C. Rep.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,B.R.,,
Ban. & A.,Banning & Arden's Patent Reports (US),,specialty,Ban. & A.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:c;court.customs.patent.appeals,,,
Banking Rep. (BNA),BNA's Banking Report,,specialty,Banking Rep. (BNA),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
Bankr. Ct. Dec. (CRR),Bankruptcy Court Decisions,,specialty,Bankr. Ct. Dec. (CRR),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,"B.C.D., Bankr. Ct. Dec., Bankr.Ct.Dec.",,
Bankr. Ct. Dec. (LRP),Bankruptcy Court Decisions,,specialty,Bankr. Ct. Dec. (LRP),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
Bankr. Ct. Rep.,Bankruptcy Court Reporter,,specialty,Bankr. Ct. Rep.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
Bankr. L. Rep.,Bankruptcy Law Reporter,,specialty,Bankr. L. Rep.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,"Bankr. L. Rep. (C.C.H.), Bankr. L. Rep. (CCH)",,
Bankr. LEXIS,LexisNexis Bankruptcy Reporter,,specialty,Bankr. LEXIS,,,,,,1979-01-01T00:00:00,,,,,,,,,,,,"us:c0:dc.d;bankruptcy.court, us:c10:co.d;bankruptcy.court, us:c10:ks.d;bankruptcy.court, us:c10:nm.d;bankruptcy.court, us:c10:ok.ed;bankruptcy.court, us:c10:ok.nd;bankruptcy.court, us:c10:ok.wd;bankruptcy.court, us:c10:ut.d;bankruptcy.court, us:c10:wy.d;bankruptcy.court, us:c10;bankruptcy.appellate.panel, us:c11:al.md;bankruptcy.court, us:c11:al.nd;bankruptcy.court, us:c11:al.sd;bankruptcy.court, us:c11:fl.md;bankruptcy.court, us:c11:fl.nd;bankruptcy.court, us:c11:fl.sd;bankruptcy.court, us:c11:ga.md;bankruptcy.court, us:c11:ga.nd;bankruptcy.court, us:c11:ga.sd;bankruptcy.court, us:c1:ma.d;bankruptcy.court, us:c1:me.d;bankruptcy.appellate.panel, us:c1:me.d;bankruptcy.court, us:c1:nh.d;bankruptcy.court, us:c1:pr.d;bankruptcy.court, us:c1:ri.d;bankruptcy.court, us:c1;bankruptcy.appellate.panel, us:c2:ct.d;bankruptcy.court, us:c2:ny.ed;bankruptcy.court, us:c2:ny.nd;bankruptcy.court, us:c2:ny.sd;bankruptcy.court, us:c2:ny.wd;bankruptcy.court, us:c2:vt.d;bankruptcy.court, us:c2;bankruptcy.appellate.panel, us:c3:de.d;bankruptcy.court, us:c3:nj.d;bankruptcy.court, us:c3:pa.ed;bankruptcy.court, us:c3:pa.md;bankruptcy.court, us:c3:pa.wd;bankruptcy.court, us:c3:vi.d;bankruptcy.court, us:c4:md.d;bankruptcy.court, us:c4:nc.ed;bankruptcy.court, us:c4:nc.md;bankruptcy.court, us:c4:nc.wd;bankruptcy.court, us:c4:sc.d;bankruptcy.court, us:c4:va.ed;bankruptcy.court, us:c4:va.wd;bankruptcy.court, us:c4:wv.nd;bankruptcy.court, us:c4:wv.sd;bankruptcy.court, us:c5:la.ed;bankruptcy.court, us:c5:la.md;bankruptcy.court, us:c5:la.wd;bankruptcy.court, us:c5:ms.nd;bankruptcy.court, us:c5:ms.sd;bankruptcy.court, us:c5:tx.ed;bankruptcy.court, us:c5:tx.nd;bankruptcy.court, us:c5:tx.sd;bankruptcy.court, us:c5:tx.wd;bankruptcy.court, us:c6:ky.ed;bankruptcy.court, us:c6:ky.wd;bankruptcy.court, us:c6:mi.ed;bankruptcy.court, us:c6:mi.wd;bankruptcy.court, us:c6:oh.nd;bankruptcy.court, us:c6:oh.sd;bankruptcy.court, us:c6:tn.d;bankruptcy.court, us:c6:tn.ed;bankruptcy.court, us:c6:tn.md;bankruptcy.court, us:c6:tn.wd;bankruptcy.court, us:c6;bankruptcy.appellate.panel, us:c7:il.cd;bankruptcy.court, us:c7:il.nd;bankruptcy.court, us:c7:il.sd;bankruptcy.court, us:c7:in.nd;bankruptcy.court, us:c7:in.sd;bankruptcy.court, us:c7:wi.ed;bankruptcy.court, us:c7:wi.wd;bankruptcy.court, us:c8:ar.ed;bankruptcy.court, us:c8:ar.wd;bankruptcy.court, us:c8:ia.nd;bankruptcy.court, us:c8:ia.sd;bankruptcy.court, us:c8:mn.d;bankruptcy.court, us:c8:mo.ed;bankruptcy.court, us:c8:mo.wd;bankruptcy.court, us:c8:nd.d;bankruptcy.court, us:c8:ne.d;bankruptcy.court, us:c8:sd.d;bankruptcy.court, us:c8;bankruptcy.appellate.panel, us:c9:ak.d;bankruptcy.court, us:c9:az.d;bankruptcy.court, us:c9:ca.cd;bankruptcy.court, us:c9:ca.ed;bankruptcy.court, us:c9:ca.nd;bankruptcy.court, us:c9:ca.sd;bankruptcy.court, us:c9:gu.d;bankruptcy.court, us:c9:hi.d;bankruptcy.court, us:c9:id.d;bankruptcy.court, us:c9:mp.d;bankruptcy.court, us:c9:mt.d;bankruptcy.court, us:c9:nv.d;bankruptcy.court, us:c9:or.d;bankruptcy.court, us:c9:wa.ed;bankruptcy.court, us:c9:wa.wd;bankruptcy.court, us:c9;bankruptcy.appellate.panel",,,
Bankr. Rep (St. Louis B.A.),Bankruptcy Reports (St. Louis B.A.),,specialty,Bankr. Rep (St. Louis B.A.),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
Barb.,Barbour's Supreme Court Reports,,state,Barb.,,,,,,1847-01-01T00:00:00,,,,,,1877-12-31T00:00:00,,,,,,us:ny;court.appeals,"B., Barb. Rep., Barb.S.C.",,
Barb. Ch.,Barbour's Chancery Reports,,state,Barb. Ch.,,,,,,1845-01-01T00:00:00,,,,,,1848-12-31T00:00:00,,,,,,us:ny;court.appeals,"Barb. Ch. Rep., Barb.Ch.(N.Y.)",,
Baxt.,Baxter's Reports (60-68 Tennessee),,state,Baxt.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:tn;supreme.court,"Bax., Baxt. (Tenn.), Baxter",,
Bay,"South Carolina Reports, Bay",,state,Bay,,,,,,1783-01-01T00:00:00,,,,,,1804-12-31T00:00:00,,,,,,us:sc;supreme.court,S.C.L.(Bay),,
Bayard's Notebook,Bayard's Notebook,,specialty,Bayard's Notebook,,,,,,1792-01-01T00:00:00,,,,,,1830-12-31T00:00:00,,,,,,us:de;,Bayard’s Notebook,,"Dates are rough, but wide, estimated from a series called Delaware Cases, which had these dates. See: http://www.worldcat.org/oclc/2882722"
