citation,name,publisher,cite_type,edition1,edition2,edition3,edition4,edition5,edition6,start_e1,start_e2,start_e3,start_e4,start_e5,start_e6,end_e1,end_e2,end_e3,end_e4,end_e5,end_e6,mlz_jurisdictions,variations,href,notes
Dev. Eq.,"North Carolina Reports, Devereux's Equity",,state,Dev. Eq.,,,,,,1826-01-01T00:00:00,,,,,,1834-12-31T00:00:00,,,,,,us:nc;supreme.court,"Dev., Dev. Eq. Rep., Dev. Rep., N.C.(Dev.Eq.)",,
Dickinson,Dickinson's New Jersey Equity,,state,Dickinson,,,,,,1890-01-01T00:00:00,,,,,,1905-12-31T00:00:00,,,,,,us:nj;supreme.court,Dick. (NJ),,
Dill.,Dillon's United States (US) Circuit Court Reports,,federal,Dill.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
Disney (Ohio),"Disney, Superior Court of Cincinnati Reports (Ohio)",,state,Disney (Ohio),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:oh;superior.court,Dis. R.,,
Div.,Div.,,state,Div.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:al;supreme.court,,,Unknown name for this Alabama Reporter
Dominion Tax Cas. (CCH),Dominion Tax Cases,,specialty,Dominion Tax Cas. (CCH),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
Doug.,"Michigan Reports, Douglass",,state,Doug.,,,,,,1843-01-01T00:00:00,,,,,,1847-12-31T00:00:00,,,,,,us:mi;supreme.court,"Doug. Rep., Doug.(Mich.), Dougl.(Mich.)",,
Dud.,"South Carolina Reports, Dudley",,state,Dud.,,,,,,1837-01-01T00:00:00,,,,,,1838-12-31T00:00:00,,,,,,us:sc;supreme.court,"Dud.(S.C.), Dud.L., Dud.L.(S.C.), Dudl., S.C.L.(Dud.)",,
Dud. Eq.,"South Carolina Reports, Dudley's Equity",,state,Dud. Eq.,,,,,,1837-01-01T00:00:00,,,,,,1838-12-31T00:00:00,,,,,,us:sc;supreme.court,"Dud.Ch., Dud.Eq.(S.C.), Dudl., S.C.Eq.(Dud.Eq.)",,
Dudley Rep.,Dudley's Georgia Reports,,state,Dudley Rep.,,,,,,1830-01-01T00:00:00,,,,,,1835-12-31T00:00:00,,,,,,us:ga;supreme.court,Dudley (Ga.),,
Duer,Duer's Reports (8-13 New York Superior),,state,Duer,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:ny;superior.court,,,
Duv.,"Kentucky Reports, Duvall",,state,Duv.,,,,,,1863-01-01T00:00:00,,,,,,1866-12-31T00:00:00,,,,,,us:ky;supreme.court,Ky.(Duv.),,
E.A.D.,Environmental Administrative Decisions,,federal,E.A.D.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us;federal,,https://law.resource.org/pub/us/code/blue/IndigoBook.html#T2,
E.D. Pa.,United States District Court for the Eastern District of Pennsylvania,,federal,E.D. Pa.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:c1:pa.ed;district.court,,,
E.D. Smith,E.D. Smith's Common Pleas Reports,,state,E.D. Smith,,,,,,1850-01-01T00:00:00,,,,,,1862-12-31T00:00:00,,,,,,us:ny;court.appeals,,,
E.H. Smith,E.H. Smiths Reports,,state,E.H. Smith,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:ny;court.appeals,"E.H.Smith's, Smith's (E.H.) Reports, Smiths E.H.",,
EEOC Compl. Man. (CCH),EEOC Compliance Manual,,specialty,EEOC Compl. Man. (CCH),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
ERC,Environmental Reporter Cases,,specialty,ERC,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,http://www.bna.com/environment-reporter-p4885/,Neither Blue Book nor Baby Blue provides guidance on this reporter.
ERC (BNA),Environmental Reporter Cases (BNA),,specialty,ERC (BNA),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
Edm. Sel. Cas.,Edmond's Select Cases,,state,Edm. Sel. Cas.,,,,,,1834-01-01T00:00:00,,,,,,1853-12-31T00:00:00,,,,,,us:ny;court.appeals,"Edm.Sel.Ca., Edm.Sel.Cas.(N.Y.), Edmond",,
Educ. L. Rep.,Education Law Reporter,,specialty,Educ. L. Rep.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,"Ed. Law Rep., Educ L Rep",,
Edw. Ch.,Edwards' Chancery Reports,,state,Edw. Ch.,,,,,,1831-01-01T00:00:00,,,,,,1850-12-31T00:00:00,,,,,,us:ny;court.appeals,"Ed.C.R., Ed.Ch., Edw., Edw. Ch. Rep., Edw. Rep., Edw.Ch.(N.Y.)",,
Empl. Benefits Cas. (BNA),Employee Benefits Cases,,specialty,Empl. Benefits Cas. (BNA),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
Empl. Coordinator (RIA),Employee Benefits Compliance Coordinator,,specialty,Empl. Coordinator (RIA),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
Empl. Prac. Dec. (CCH),Employment Practices Decisions,Commerce Clearing House,specialty,Empl. Prac. Dec. (CCH),,,,,,1971-01-01T00:00:00,,,,,,,,,,,,,"Empl Prac Dec [CCH], Empl. Prac. Dec., Empl. Prac.Dec.",,
Empl. Prac. Guide (CCH),Employment Practices Guide,,specialty,Empl. Prac. Guide (CCH),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
Empl. Safety & Health Guide (CCH),Employment Safety and Health Guide,,specialty,Empl. Safety & Health Guide (CCH),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
Employee Benefits Cas. (BNA),Employee Benefits Cases,,specialty,Employee Benefits Cas. (BNA),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,Employee Benefits Cas.,,
Energy Mgmt. (CCH),Energy Management & Federal Energy Guidelines,,specialty,Energy Mgmt. (CCH),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
Env't Rep. (BNA),Environment Reporter,,specialty,Env't Rep. (BNA),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
Env't Rep. Cas. (BNA),Environment Reporter Cases,,specialty,Env't Rep. Cas. (BNA),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
Envtl. L. Rep. (Envtl. Law Inst.),Environmental Law Reporter,,specialty,Envtl. L. Rep. (Envtl. Law Inst.),,,,,,1971-01-01T00:00:00,,,,,,,,,,,,,"ELR, Envtl. L. Rep., Envtl. L.Rep.",http://elr.info/,
Exempt Org. Rep. (CCH),Exempt Organizations Reports,,specialty,Exempt Org. Rep. (CCH),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
F.,Federal Reporter,,federal,F.,F.2d,F.3d,F.4th,,,1880-01-01T00:00:00,1924-01-01T00:00:00,1993-01-01T00:00:00,2021-01-01T00:00:00,,,1924-12-31T00:00:00,1993-12-31T00:00:00,,,,,"us:c10;court.appeals, us:c11;court.appeals, us:c1;court.appeals, us:c2;court.appeals, us:c3;court.appeals, us:c4;court.appeals, us:c5;court.appeals, us:c6;court.appeals, us:c7;court.appeals, us:c8;court.appeals, us:c9;court.appeals","F. 2d, F. 3d, F. 4th, F.(2d), F.2d., F.3d., F.4th., Fed., Fed.R., Fed.R.2d, Fed.R.3d, Fed.R.4th, Fed.Rep., Fed.Rep.2d, Fed.Rep.3d, Fed.Rep.4th",,"F.4th was first noted on 2021-06-30, but we don't yet know the last F.3d case nor the first F.4th case. Once 4th is published, we can check."
F. App'x,Federal Appendix,,federal,F. App'x,,,,,,2001-01-01T00:00:00,,,,,,,,,,,,"us:c10;court.appeals, us:c11;court.appeals, us:c1;court.appeals, us:c2;court.appeals, us:c3;court.appeals, us:c4;court.appeals, us:c5;court.appeals, us:c6;court.appeals, us:c7;court.appeals, us:c8;court.appeals, us:c9;court.appeals",F. App'x.,,
F. Cas.,Federal Cases,,federal,F. Cas.,,,,,,1789-01-01T00:00:00,,,,,,1880-01-01T00:00:00,,,,,,"us:c10;court.appeals, us:c11;court.appeals, us:c1;court.appeals, us:c2;court.appeals, us:c3;court.appeals, us:c4;court.appeals, us:c5;court.appeals, us:c6;court.appeals, us:c7;court.appeals, us:c8;court.appeals, us:c9;court.appeals","F.C., F.Cas., Fed.Ca.",,
F. Supp.,Federal Supplement,,federal,F. Supp.,F. Supp. 2d,F. Supp. 3d,,,,1932-01-01T00:00:00,1988-01-01T00:00:00,2014-03-04T00:00:00,,,,1988-12-31T00:00:00,2014-08-21T00:00:00,,,,,"us:c0:dc.d;district.court, us:c10:co.d;district.court, us:c10:ks.d;district.court, us:c10:nm.d;district.court, us:c10:ok.ed;district.court, us:c10:ok.nd;district.court, us:c10:ok.wd;district.court, us:c10:ut.d;district.court, us:c10:wy.d;district.court, us:c11:al.md;district.court, us:c11:al.nd;district.court, us:c11:al.sd;district.court, us:c11:fl.md;district.court, us:c11:fl.nd;district.court, us:c11:fl.sd;district.court, us:c11:ga.md;district.court, us:c11:ga.nd;district.court, us:c11:ga.sd;district.court, us:c1:ma.d;district.court, us:c1:me.d;district.court, us:c1:nh.d;district.court, us:c1:pr.d;district.court, us:c1:ri.d;district.court, us:c2:ct.d;district.court, us:c2:ny.ed;district.court, us:c2:ny.nd;district.court, us:c2:ny.sd;district.court, us:c2:ny.wd;district.court, us:c2:vt.d;district.court, us:c3:de.d;district.court, us:c3:nj.d;district.court, us:c3:pa.d;district.court, us:c3:pa.ed;district.court, us:c3:pa.md;district.court, us:c3:pa.wd;district.court, us:c3:vi.d;district.court, us:c4:md.d;district.court, us:c4:nc.ed;district.court, us:c4:nc.md;district.court, us:c4:nc.wd;district.court, us:c4:sc.d;district.court, us:c4:sc.ed;district.court, us:c4:sc.wd;district.court, us:c4:va.ed;district.court, us:c4:va.wd;district.court, us:c4:wv.nd;district.court, us:c4:wv.sd;district.court, us:c5:la.ed;district.court, us:c5:la.md;district.court, us:c5:la.wd;district.court, us:c5:ms.nd;district.court, us:c5:ms.sd;district.court, us:c5:pz.d;district.court, us:c5:tx.ed;district.court, us:c5:tx.nd;district.court, us:c5:tx.sd;district.court, us:c5:tx.wd;district.court, us:c6:ky.ed;district.court, us:c6:ky.wd;district.court, us:c6:mi.ed;district.court, us:c6:mi.wd;district.court, us:c6:oh.d;district.court, us:c6:oh.nd;district.court, us:c6:oh.sd;district.court, us:c6:tn.d;district.court, us:c6:tn.ed;district.court, us:c6:tn.md;district.court, us:c6:tn.wd;district.court, us:c7:il.cd;district.court, us:c7:il.d;district.court, us:c7:il.ed;district.court, us:c7:il.nd;district.court, us:c7:il.sd;district.court, us:c7:in.d;district.court, us:c7:in.nd;district.court, us:c7:in.sd;district.court, us:c7:wi.ed;district.court, us:c7:wi.wd;district.court, us:c8:ar.ed;district.court, us:c8:ar.wd;district.court, us:c8:ia.nd;district.court, us:c8:ia.sd;district.court, us:c8:mn.d;district.court, us:c8:mo.cd;district.court, us:c8:mo.ed;district.court, us:c8:mo.sd;district.court, us:c8:mo.wd;district.court, us:c8:nd.d;district.court, us:c8:ne.d;district.court, us:c8:sd.d;district.court, us:c9:ak.d;district.court, us:c9:az.d;district.court, us:c9:ca.cd;district.court, us:c9:ca.d;district.court, us:c9:ca.ed;district.court, us:c9:ca.nd;district.court, us:c9:ca.sd;district.court, us:c9:gu.d;district.court, us:c9:hi.d;district.court, us:c9:id.d;district.court, us:c9:mp.d;district.court, us:c9:mt.d;district.court, us:c9:nv.d;district.court, us:c9:or.d;district.court, us:c9:wa.ed;district.court, us:c9:wa.wd;district.court","F. Supp, F. Supp.2d, F.Supp., F.Supp. 2d, F.Supp. 3d, F.Supp.2d, F.Supp.3d, FS3d",,
F.C.C.,Federal Communications Commission Reports,,federal,F.C.C.,F.C.C.2d,,,,,1750-01-01T00:00:00,1750-01-01T00:00:00,,,,,,,,,,,us;federal,,https://law.resource.org/pub/us/code/blue/IndigoBook.html#T2,
F.L.R.A.,Decisions of the Federal Labor Relations Authority,,federal,F.L.R.A.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us;federal,,https://law.resource.org/pub/us/code/blue/IndigoBook.html#T2,
F.R.D.,Federal Rules Decisions,,specialty,F.R.D.,,,,,,2001-01-01T00:00:00,,,,,,,,,,,,"us:c0:dc.d;district.court, us:c10:co.d;district.court, us:c10:ks.d;district.court, us:c10:nm.d;district.court, us:c10:ok.ed;district.court, us:c10:ok.nd;district.court, us:c10:ok.wd;district.court, us:c10:ut.d;district.court, us:c10:wy.d;district.court, us:c11:al.md;district.court, us:c11:al.nd;district.court, us:c11:al.sd;district.court, us:c11:fl.md;district.court, us:c11:fl.nd;district.court, us:c11:fl.sd;district.court, us:c11:ga.md;district.court, us:c11:ga.nd;district.court, us:c11:ga.sd;district.court, us:c1:ma.d;district.court, us:c1:me.d;district.court, us:c1:nh.d;district.court, us:c1:pr.d;district.court, us:c1:ri.d;district.court, us:c2:ct.d;district.court, us:c2:ny.ed;district.court, us:c2:ny.nd;district.court, us:c2:ny.sd;district.court, us:c2:ny.wd;district.court, us:c2:vt.d;district.court, us:c3:de.d;district.court, us:c3:nj.d;district.court, us:c3:pa.d;district.court, us:c3:pa.ed;district.court, us:c3:pa.md;district.court, us:c3:pa.wd;district.court, us:c3:vi.d;district.court, us:c4:md.d;district.court, us:c4:nc.ed;district.court, us:c4:nc.md;district.court, us:c4:nc.wd;district.court, us:c4:sc.d;district.court, us:c4:sc.ed;district.court, us:c4:sc.wd;district.court, us:c4:va.ed;district.court, us:c4:va.wd;district.court, us:c4:wv.nd;district.court, us:c4:wv.sd;district.court, us:c5:la.ed;district.court, us:c5:la.md;district.court, us:c5:la.wd;district.court, us:c5:ms.nd;district.court, us:c5:ms.sd;district.court, us:c5:pz.d;district.court, us:c5:tx.ed;district.court, us:c5:tx.nd;district.court, us:c5:tx.sd;district.court, us:c5:tx.wd;district.court, us:c6:ky.ed;district.court, us:c6:ky.wd;district.court, us:c6:mi.ed;district.court, us:c6:mi.wd;district.court, us:c6:oh.d;district.court, us:c6:oh.nd;district.court, us:c6:oh.sd;district.court, us:c6:tn.d;district.court, us:c6:tn.ed;district.court, us:c6:tn.md;district.court, us:c6:tn.wd;district.court, us:c7:il.cd;district.court, us:c7:il.d;district.court, us:c7:il.ed;district.court, us:c7:il.nd;district.court, us:c7:il.sd;district.court, us:c7:in.d;district.court, us:c7:in.nd;district.court, us:c7:in.sd;district.court, us:c7:wi.ed;district.court, us:c7:wi.wd;district.court, us:c8:ar.ed;district.court, us:c8:ar.wd;district.court, us:c8:ia.nd;district.court, us:c8:ia.sd;district.court, us:c8:mn.d;district.court, us:c8:mo.cd;district.court, us:c8:mo.ed;district.court, us:c8:mo.sd;district.court, us:c8:mo.wd;district.court, us:c8:nd.d;district.court, us:c8:ne.d;district.court, us:c8:sd.d;district.court, us:c9:ak.d;district.court, us:c9:az.d;district.court, us:c9:ca.cd;district.court, us:c9:ca.d;district.court, us:c9:ca.ed;district.court, us:c9:ca.nd;district.court, us:c9:ca.sd;district.court, us:c9:gu.d;district.court, us:c9:hi.d;district.court, us:c9:id.d;district.court, us:c9:mp.d;district.court, us:c9:mt.d;district.court, us:c9:nv.d;district.court, us:c9:or.d;district.court, us:c9:wa.ed;district.court, us:c9:wa.wd;district.court",,,
F.T.C.,Federal Trade Commission,,federal,F.T.C.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us;federal,,https://law.resource.org/pub/us/code/blue/IndigoBook.html#T2,
FCC Rcd,Federal Communications Commission Record,,federal,FCC Rcd,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us;federal,,https://law.resource.org/pub/us/code/blue/IndigoBook.html#T2,
FED App.,United States (US) Court of Appeals for the Sixth Circuit,,federal,FED App.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,"us:c6:ky.ed;district.court, us:c6:ky.wd;district.court, us:c6:mi.ed;district.court, us:c6:mi.wd;district.court, us:c6:oh.d;district.court, us:c6:oh.nd;district.court, us:c6:oh.sd;district.court, us:c6:tn.d;district.court, us:c6:tn.ed;district.court, us:c6:tn.md;district.court, us:c6:tn.wd;district.court",,,This is the only circuit known to us that uses this format.
FERC,Federal Energy Guidelines: FERC Reports,,federal,FERC,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us;federal,,https://law.resource.org/pub/us/code/blue/IndigoBook.html#T2,
FL,Florida Neutral Citation,,neutral,FL,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:fl;supreme.court,,,
FLW Fed,Florida Law Weekly Federal,,federal,FLW Fed,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,Fla. L. Weekly Fed.,,
FMSHRC,Federal Mine Safety and Health Review Commission Decisions,,federal,FMSHRC,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us;federal,,https://law.resource.org/pub/us/code/blue/IndigoBook.html#T2,
FPSC,Florida Public Service Commission,,state,FPSC,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:fl;public.service.commission.court,,,
Fair Empl. Prac. Cas. (BNA),Fair Employment Practice Cases,,specialty,Fair Empl. Prac. Cas. (BNA),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,"Fair Empl. Prac. Newsl. (BNA), Fair Empl.Prac.Cas., Fair Empl.Prac.Cas. (BNA)",,
Fam. L. Rep. (BNA),The Family Law Reporter,,specialty,Fam. L. Rep. (BNA),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
Fam. L. Tax Guide (CCH),Family Law Tax Guide,,specialty,Fam. L. Tax Guide (CCH),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
Fed. Appx.,West's Federal Appendix,,federal,Fed. Appx.,,,,,,2001-01-01T00:00:00,,,,,,,,,,,,,"Fed. App'x, Fed.Appx.",,"https://en.wikipedia.org/wiki/Federal_Appendix, Relatively new published book."
Fed. Audit Guide (CCH),Federal Audit Guides,,specialty,Fed. Audit Guide (CCH),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
Fed. Banking L. Rep. (CCH),Federal Banking Law Reporter (CCH),,specialty,Fed. Banking L. Rep. (CCH),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,Fed. Banking L. Rep.,,
Fed. Carr. Cas. (CCH),Federal Carrier Cases (CCH) (1936-),,federal,Fed. Carr. Cas. (CCH),,,,,,1936-01-01T00:00:00,,,,,,,,,,,,,Fed. Carr. Cas.,,
Fed. Carr. Rep. (CCH),Federal Carriers Reports,,specialty,Fed. Carr. Rep. (CCH),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
Fed. Cl.,United States Claims Court Reporter,,specialty,Fed. Cl.,,,,,,1992-01-01T00:00:00,,,,,,,,,,,,us:c;court.federal.claims,Fed.Cl.,,
Fed. Cont. Rep. (BNA),Federal Contracts Report,,specialty,Fed. Cont. Rep. (BNA),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
Fed. Election Camp. Fin. Guide (CCH),Federal Election Campaign Financing Guide,,specialty,Fed. Election Camp. Fin. Guide (CCH),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
Fed. Energy Reg. Comm'n Rep. (CCH),Federal Energy Regulatory Commission Reports,,specialty,Fed. Energy Reg. Comm'n Rep. (CCH),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
Fed. Est. & Gift Tax Rep. (CCH),Federal Estate and Gift Tax Reporter,,specialty,Fed. Est. & Gift Tax Rep. (CCH),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
Fed. Ex. Tax Rep. (CCH),Federal Excise Tax Reports,,specialty,Fed. Ex. Tax Rep. (CCH),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
Fed. Inc. Gift & Est. Tax'n (MB),"Federal Income, Gift and Estate Taxation",,specialty,Fed. Inc. Gift & Est. Tax'n (MB),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
Fed. R. Serv.,Federal Rules of Evidence Service,Thomson Reuters,specialty,Fed. R. Serv.,Fed. R. Serv. 2d,Fed. R. Serv. 3d,,,,1938-01-01T00:00:00,1938-01-01T00:00:00,1938-01-01T00:00:00,,,,,,,,,,"us:c0:dc.d;district.court, us:c0;court.appeals, us:c10:co.d;district.court, us:c10:ks.d;district.court, us:c10:nm.d;district.court, us:c10:ok.ed;district.court, us:c10:ok.nd;district.court, us:c10:ok.wd;district.court, us:c10:ut.d;district.court, us:c10:wy.d;district.court, us:c10;court.appeals, us:c11:al.md;district.court, us:c11:al.nd;district.court, us:c11:al.sd;district.court, us:c11:fl.md;district.court, us:c11:fl.nd;district.court, us:c11:fl.sd;district.court, us:c11:ga.md;district.court, us:c11:ga.nd;district.court, us:c11:ga.sd;district.court, us:c11;court.appeals, us:c1:ma.d;district.court, us:c1:me.d;district.court, us:c1:nh.d;district.court, us:c1:pr.d;district.court, us:c1:ri.d;district.court, us:c1;court.appeals, us:c2:ct.d;district.court, us:c2:ny.ed;district.court, us:c2:ny.nd;district.court, us:c2:ny.sd;district.court, us:c2:ny.wd;district.court, us:c2:vt.d;district.court, us:c2;court.appeals, us:c3:de.d;district.court, us:c3:nj.d;district.court, us:c3:pa.d;district.court, us:c3:pa.ed;district.court, us:c3:pa.md;district.court, us:c3:pa.wd;district.court, us:c3:vi.d;district.court, us:c3;court.appeals, us:c4:md.d;district.court, us:c4:nc.ed;district.court, us:c4:nc.md;district.court, us:c4:nc.wd;district.court, us:c4:sc.d;district.court, us:c4:sc.ed;district.court, us:c4:sc.wd;district.court, us:c4:va.ed;district.court, us:c4:va.wd;district.court, us:c4:wv.nd;district.court, us:c4:wv.sd;district.court, us:c4;court.appeals, us:c5:la.ed;district.court, us:c5:la.md;district.court, us:c5:la.wd;district.court, us:c5:ms.nd;district.court, us:c5:ms.sd;district.court, us:c5:pz.d;district.court, us:c5:tx.ed;district.court, us:c5:tx.nd;district.court, us:c5:tx.sd;district.court, us:c5:tx.wd;district.court, us:c5;court.appeals, us:c6:ky.ed;district.court, us:c6:ky.wd;district.court, us:c6:mi.ed;district.court, us:c6:mi.wd;district.court, us:c6:oh.d;district.court, us:c6:oh.nd;district.court, us:c6:oh.sd;district.court, us:c6:tn.d;district.court, us:c6:tn.ed;district.court, us:c6:tn.md;district.court, us:c6:tn.wd;district.court, us:c6;court.appeals, us:c7:il.cd;district.court, us:c7:il.d;district.court, us:c7:il.ed;district.court, us:c7:il.nd;district.court, us:c7:il.sd;district.court, us:c7:in.d;district.court, us:c7:in.nd;district.court, us:c7:in.sd;district.court, us:c7:wi.ed;district.court, us:c7:wi.wd;district.court, us:c7;court.appeals, us:c8:ar.ed;district.court, us:c8:ar.wd;district.court, us:c8:ia.nd;district.court, us:c8:ia.sd;district.court, us:c8:mn.d;district.court, us:c8:mo.cd;district.court, us:c8:mo.ed;district.court, us:c8:mo.sd;district.court, us:c8:mo.wd;district.court, us:c8:nd.d;district.court, us:c8:ne.d;district.court, us:c8:sd.d;district.court, us:c8;court.appeals, us:c9:ak.d;district.court, us:c9:az.d;district.court, us:c9:ca.cd;district.court, us:c9:ca.d;district.court, us:c9:ca.ed;district.court, us:c9:ca.nd;district.court, us:c9:ca.sd;district.court, us:c9:gu.d;district.court, us:c9:hi.d;district.court, us:c9:id.d;district.court, us:c9:mp.d;district.court, us:c9:mt.d;district.court, us:c9:nv.d;district.court, us:c9:or.d;district.court, us:c9:wa.ed;district.court, us:c9:wa.wd;district.court, us:c9;court.appeals, us:dc;court.appeals","Fed. R. Evid. Serv., Fed. R. Evid. Serv. (Callaghan), Fed. R. Evid. Serv. 2d, Fed. R. Evid. Serv. 3d, Fed. R. Serv. (Callaghan), Fed. R. Serv. 2d (Callaghan), Fed. R. Serv. 3d (Callaghan), Fed. R. Serv. 3d (West), Fed.R.Serv., Fed.R.Serv. (Callaghan), Fed.R.Serv.2d, Fed.R.Serv.2d (Callaghan), Fed.R.Serv.3d, Fed.R.Serv.3d (West)",https://store.legal.thomsonreuters.com/law-products/Court-Rules/Federal-Rules-of-Evidence-Service/p/100027137,
Fed. R. Serv. 2d (West),"Federal Rules Service, Second Series",,specialty,Fed. R. Serv. 2d (West),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
Fed. Sec. L. Rep. (CCH),Federal Securities Law Reporter (CCH),,specialty,Fed. Sec. L. Rep. (CCH),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,"Fed Sec L Rep (CCH), Fed. Sec. L. Rep.",,
Fed. Sent'g Rep,Federal Sentencing Reporter,,federal,Fed. Sent'g Rep,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,Fed. Sent. R.,,
Fed. Tax Coordinator Second Series (RIA),Federal Tax Coordinator Second,,specialty,Fed. Tax Coordinator Second Series (RIA),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
Fed. Tax Guide Rep. (CCH),Federal Tax Guide Reports,,specialty,Fed. Tax Guide Rep. (CCH),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
Fire & Casualty Cas.,Fire and Casualty Cases,,specialty,Fire & Casualty Cas.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,"Fire & Casualty Cas. (CCH), Fire & Casualty Cas.(CCH)",,
Fish. Pat. Cas.,Fisher's United States (US) Patent Cases,,federal,Fish. Pat. Cas.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
Fish. Pat. Rep.,Fisher's United States Patent Reports,,federal,Fish. Pat. Rep.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
Fish. Prize Cas.,Fisher's United States Prize Cases,,federal,Fish. Prize Cas.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,"Fish. Pr. Cas., Fish. Prize",,
Fla.,Florida Reports,,state,Fla.,,,,,,1846-01-01T00:00:00,,,,,,1948-12-31T00:00:00,,,,,,us:fl;supreme.court,"Fla. Rep., Flor., Florida, Florida Rep.",,
Fla. App. LEXIS,LexisNexis Florida Appeals Court,,state,Fla. App. LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:fl;appeals.court,,,
Fla. L. Weekly,Florida Law Weekly,,state,Fla. L. Weekly,,,,,,1978-01-01T00:00:00,,,,,,,,,,,,us:fl;supreme.court,,,
Fla. L. Weekly Fed. B,"Florida (FL) Law Weekly Federal, Bankruptcy Court",,specialty,Fla. L. Weekly Fed. B,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
Fla. L. Weekly Fed. S,"Florida (FL) Law Weekly Federal, Supreme Court",,federal,Fla. L. Weekly Fed. S,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us;supreme.court,,,
Fla. L. Weekly Supp.,Florida Law Weekly Supplement,,state,Fla. L. Weekly Supp.,,,,,,1992-01-01T00:00:00,,,,,,,,,,,,us:fl;supreme.court,Fla. L. Weekly S,,
Fla. LEXIS,LexisNexis Florida Supreme Court,,state,Fla. LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:fl;supreme.court,,,
Fla. Supp.,Florida Supplement,,state,Fla. Supp.,Fla. Supp. 2d,,,,,1948-01-01T00:00:00,1983-01-01T00:00:00,,,,,1981-12-31T00:00:00,1992-12-31T00:00:00,,,,,us:fl;supreme.court,Fl.S.,,
Flip.,Flippin's Circuit Court Reports (U.S.),,federal,Flip.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,Flipp. (F.),,
Food Drug Cosm. L. Rep. (CCH),Food Drug Cosmetic Law Reports,,specialty,Food Drug Cosm. L. Rep. (CCH),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
Foster,Legal Chronicle reports of Cases decided in the Supreme Court of Pennsylvania (Foster),,state,Foster,,,,,,1870-01-01T00:00:00,,,,,,1875-12-31T00:00:00,,,,,,us:pa;supreme.court,,,
